Alder Flycatcher (Empidonax alnorum),,,,,,,,,,,,,,,,,
American Crow (Corvus brachyrhynchos) ,,3,1,2,,2,1,,1,2,1,,1,1,1,1,
American Goldfinch (Carduelis tristis) ,,1,,1,1,2,2,,2,,,,,,,,
American Kestrel (Falco sparverius),,,,,,,,,,,,,,,,,
American Redstart (Setophaga ruticilla) ,1,,,,,,,,,,,,,,,,1
American Robin (Turdus migratorius) ,2,1,,1,2,1,1,1,1,1,,,,,1,1,2
American White Pelican (Pelecanus erythrorhynchos),,,,,,,,,,,,,,,,,
Bald Eagle (Haliaeetus leucocephalus),,,1,,,2,,,,,,,,,1,2,
Baltimore oriole (Icterus galbula) ,1,1,,1,,,,,,,,,1,1,,,1
Barn Swallow (Hirundo rustica) ,,,,,,,,,,,,,,,,,
Bay-breasted Warbler (Dendroica castanea),,,,,,,,,,,,,,,,,
Belted Kingfisher (Ceryle alcyon) ,,,,,,,,,,,,,,,,,
Black Tern (Chlidonias niger),,,,,,,,,,,,,,,,,
Black-and-white Warbler (Mniotilta varia),,,,,,,,,,,,,,,,,
Blackburnian Warbler (Dendroica fusca) ,,,,,,,,,,,,,,,,,
Black-capped Chickadee (Parus atricapillus) ,1,,,1,,1,,1,1,,,,,1,1,,
Blackpoll Warbler (Dendroica striata) ,,,,,,,,,,,,,,,,,
Black-throated Green Warbler (Dendroica virens) ,,,,,,,,,,,,,,,,,
Blue Jay (Cyanocitta cristata) ,,,2,1,,,,1,1,2,,1,,3,1,,
Blue-gray Gnatcatcher (Polioptila caerula) ,,,,,,,1,,,,,,,,2,1,
Blue-headed [solitary] Vireo (Vireo solitarius) ,,,,,,,,,,,,,,,,,
Blue-winged Teal (Anas discors),,,,,,,,,,,,,,,,,
Blue-winged Warbler (Vermivora pinus),,,,,,,,,1,,,,,,,,
Bobolink (Dolichonyx oryzivorus),,,,,,,,,,,,,,,,,
Broad-winged Hawk (Buteo playpterus),,,,,,,,,,,,,,,,,
Brown Thrasher (Toxostoma rufum),,,,,,,1,,,,,,,,,,
Brown-headed Cowbird (Molothrus ater) ,,1,1,1,1,1,2,,,,,,1,,,,
Canada Goose (Branta canadensis),1,,,,,,1,1,,,,,,,1,,1
