Alder Flycatcher (Empidonax alnorum),Empidonax,alnorum,Tyrannidae,,,,,,,,,,,,,,,,,
Evening Grosbeak (Coccothraustes vespertinus),Coccothraustes,vespertinus,Fringillidae,,,,,,,,,,,,,,,,,
Field Sparrow (Spizella pusilla) ,Spizella,pusilla,Emberizidae,,3,,,,1,,1,,1,,,1,,1,,
Golden Eagle (Aquila chrysaetos),Aquila,chrysaetos,Accipitridae,,,,,,,,,,,,,,,,,
Golden-winged Warbler (Vermivora chrysoptera),Vermivora,chrysoptera,Parulidae,,,,,,,,,1,,,,,,,,
Grasshopper Sparrow (Ammodramus savannarum),Ammodramus,savannarum,Emberizidae,,,,,,,,,,,,,,,,,
Gray Catbird (Dumetella caroliniensis) ,Dumetella,caroliniensis,Mimidae,,,1,,,1,,,,,,,,,,1,
Gray-cheeked Thrush (Catharus minimus),Catharus,minimus,Turdidae,,,,,,,,,,,,,,,,,
Great Blue Heron (Ardea herodius),Ardea,herodius,Ardeidae,,,,,,,,,,,,,,,,,
Great Crested Flycatcher (Myiarchus crinitus) ,Myiarchus,crinitus,Tyrannidae,,,,1,,,,,,,1,,,,,,
Great Egret (Ardea alba),Ardea,alba,Ardeidae,,,,,,,,,,,,,,,,,
Great Horned Owl (Bubo virginianus),Bubo,virginianus,Strigidae,,,,,,,,,,,,,,,,,
Green Heron (Butorides virescens),Butorides,virescens,Ardeidae,,,,,,,,,,,,,,,,,
Hairy Woodpecker (Picoides villosus),Picoides,villosus,Picidae,,,,,,,,,,,,,,,,,
Henslow's Sparrow (Ammodramus henslowii),Ammodramus,henslowii,Emberizidae,,,,,,,,,,,,,,,,,
Hermit Thrush (Catharus guttatus),Catharus,guttatus,Turdidae,,,,,,,,,,,,,,,,,
House Finch (Carpodacus mexicanus),Carpodacus,mexicanus,Fringillidae,,,,,,,,,,,,,,,,,
House Sparrow (Passer domesticus),Passer,domesticus,Passeridae,,,,,,,,,,,,,,,,,
House Wren (Troglodytes aedon) ,Troglodytes,aedon,Troglodytidae,,,,1,1,,,,1,1,,1,1,,,,1
Indigo Bunting (Passerina cyanea) ,Passerina,cyanea,Cardinalidae,,,1,2,,2,,1,,4,,1,3,,3,,1
Killdeer (Charadrius vociferus),Charadrius,vociferus,Charadriidae,,,,,,,,,,,,,,,,,
Least Flycatcher (Empidonax minimus),Empidonax,minimus,Tyrannidae,,,,,,,,,,,,,,,,,
